direccion,latitud,longitud,provincia,localidad
Chacabuco 1570,-37.32167,-59.13316,Buenos Aires,Tandil
Alsina 157,-34.678356,-58.341159,Buenos Aires,Avellaneda
9 de Julio 1073 entre French y Beruti,46.533977,6.741175,Buenos Aires,Campana
David Ortega 2246,-38.00228,-57.55754,Buenos Aires,Mar Del Plata
Zuviria 456,-35.81077,-61.8968,Buenos Aires,Pehuajo
Calle 5 nro 866,-34.92145,-57.95453,Buenos Aires,La Plata
Entre Ríos 545 ,-34.648893,-58.615965,Buenos Aires,Moron
Calle 67 2331,,,,
Viedma 1554,18.019814,-102.289655,Buenos Aires,Magdalena
Aristobulo del valle 626,-34.86186,-57.91126,Buenos Aires,Ensenada
