direccion,localidad,latitud,longitud
"CALLE 30, Florentino Ameghino, Buenos Aires",Florentino Ameghino,-34.84676355146135,-62.46730823935055
"CALLE 24 600, Florentino Ameghino, Buenos Aires",Florentino Ameghino,-34.8403965672407,-62.4652919544828
"ITALIA 463, Arrecifes, Buenos Aires",Arrecifes,-34.06645128392934,-60.098964124648276
"CALLE 34 200, Florentino Ameghino, Buenos Aires",Florentino Ameghino,-34.8479592184129,-62.4696428502119
"C 16 - GRAL BALCARCE, Balcarce, Buenos Aires",Balcarce,-37.85438306820235,-58.26750891409039
"C 19 - JULIO A ROCA (ENTRE C 16 - GRAL BALCARCE Y AV KELLY), Balcarce, Buenos Aires",Balcarce,-37.8476318245242,-58.258061740532696
"A EREZCANO 1476, Almirante Brown, Buenos Aires",Almirante Brown,-34.81522388010484,-58.36748410759664
"GRAL FRIAS 2736, Almirante Brown, Buenos Aires",Almirante Brown,-34.7822185942049,-58.37724536235116
"ARENALES 1400, Almirante Brown, Buenos Aires",Almirante Brown,-34.8242876646816,-58.4097359148076
"PJE TERRAZA 220, Almirante Brown, Buenos Aires",Almirante Brown,-34.7912605900045,-58.39506556430816
"AV ESPORA 2400, Almirante Brown, Buenos Aires",Almirante Brown,-34.8491548366571,-58.374494135488284
"JUAN THORNE 728, Almirante Brown, Buenos Aires",Almirante Brown,-34.79274536989971,-58.37966048425993
"VELEZ SARSFIELD 2800, Lanús, Buenos Aires",Lanus,-34.7039462784602,-58.3904987181411
"CECILIA BORJA 106, Almirante Brown, Buenos Aires",Almirante Brown,-34.797232726177704,-58.40523390226186
"AV AMENEDO 2543, Almirante Brown, Buenos Aires",Almirante Brown,-34.78545473647371,-58.37828454615257
"CONSCRIPTO BERNARDI (ENTRE LA GACETA Y CORDERO), Almirante Brown, Buenos Aires",Almirante Brown,-34.7957729785752,-58.400614449715604
"DR ESTANISLAO S ZEBALLOS 4360, Avellaneda, Buenos Aires",Avellaneda,-34.68848293511518,-58.332967653104085
"ESTEBAN ECHEVERRIA 100, Avellaneda, Buenos Aires",Avellaneda,-34.7053008766897,-58.3160191334622
"CERVANTES SAAVEDRA 1200, Almirante Brown, Buenos Aires",Almirante Brown,-34.800355101760616,-58.364918329907134
"AV BARTOLOME MITRE 4500, Avellaneda, Buenos Aires",Avellaneda,-34.6911430938504,-58.3344850527041
"FLORENCIO VARELA, Avellaneda, Buenos Aires",Avellaneda,-34.681002521032894,-58.3737805795588
"DR ESTANISLAO S ZEBALLOS 2200, Avellaneda, Buenos Aires",Avellaneda,-34.66990552666172,-58.352723115518806
"3075 SANTA FE 1400, San Miguel, Buenos Aires",San Miguel,-34.5553306209369,-58.6897689240794
"3023 SALTA 1900, San Miguel, Buenos Aires",San Miguel,-34.5709862030501,-58.6776828879612
"3178 ENTRE RIOS 600, San Miguel, Buenos Aires",San Miguel,-34.562730225366,-58.6922811141421
"4125 SGT CABRAL 800, San Miguel, Buenos Aires",San Miguel,-34.5421085805929,-58.7025653775719
"4170 LEANDRO N ALEM 2000, San Miguel, Buenos Aires",San Miguel,-34.5407379099348,-58.7174389693018
"CNL CASACUBERTA 5800, Avellaneda, Buenos Aires",Avellaneda,-34.7131327022164,-58.3363254005644
"RAQUEL ESPANOL 400, Avellaneda, Buenos Aires",Avellaneda,-34.7021408516631,-58.3110630991385
"ITALIA, Avellaneda, Buenos Aires",Avellaneda,-34.66646881918285,-58.3643341870253
