direccion,localidad,latitud,longitud,latitud_verificada,longitud_verificada,Distancia,Estan cerca
"MANUEL CORVALAN 1700, Avellaneda, Buenos Aires",Avellaneda,-34.7142590683362,-58.3396100412122,-34.71520208641147,-58.34082116498587,152.49,Si
"4188 GELLY Y OBES 1769, San Miguel, Buenos Aires",San Miguel,-34.54674169091034,-58.720199322667156,-34.546439107373594,-58.720894962045854,72.14,Si
"AVENIDA 38 829 (ENTRE CALLE 11 Y CALLE 12), La Plata, Buenos Aires",La Plata,-34.909713355051174,-57.96665886550112,-34.90953750797637,-57.966953262027154,33.23,Si
"AVENIDA 1 (ENTRE AVENIDA 44 Y CALLE 45), La Plata, Buenos Aires",La Plata,-34.90548231099285,-57.948549247098995,-34.90548338867588,-57.948413876079236,12.37,Si
"SUIPACHA 3571, Lanús, Buenos Aires",Lanus,-34.731550701314404,-58.387081286632686,-34.73135629991005,-58.38733574669377,31.75,Si
"SANTIAGO PLAUL 1840, Lanús, Buenos Aires",Lanus,-34.68883626389025,-58.4066789962966,-34.68881968908188,-58.40652378902466,14.34,Si
"YATAY 600, Morón, Buenos Aires",Morón,-34.6548359839217,-58.615213431622,-34.65467279087826,-58.61511840251943,20.09,Si
"MARCO AVELLANEDA 4937, Lanús, Buenos Aires",Lanus,-34.69181207352539,-58.43241168492671,-34.691579306776575,-58.43235831786008,26.28,Si
"AV GRL SAN MARTIN 2100, Lanús, Buenos Aires",Lanus,-34.6943050741604,-58.4064756119337,-34.694201151681064,-58.40627711123986,21.53,Si
"C 275 - GARAY 4549, General Pueyrredón, Buenos Aires",Mar del Plata,-37.99834080909305,-57.57365308938675,-37.97352049246121,-57.62237971953335,5090.51,No
"CALLE 14 6061, La Costa, Buenos Aires",Santa Teresita - Mar del Tuyú,-36.56253798901264,-56.71168371495368,-36.56244968001284,-56.712012775432626,31.04,Si
"C 89 - TGRL PABLO RICHIERI (ESQUINA C 64 - BALCARCE), Necochea, Buenos Aires",Necochea - Quequen,-38.5636975446619,-58.7565589135345,-38.563614081307044,-58.75659483299326,9.78,Si
"AV 10 - RCA ORIENTAL DEL URUGUAY 200, Necochea, Buenos Aires",Necochea - Quequen,-38.59554675212798,-58.77757920872384,-38.60526678319084,-58.80430530415515,2566.03,No
"ELISEO RECLUS 852, San Isidro, Buenos Aires",San Isidro,-34.490934736938584,-58.56197411943853,-34.49095167730121,-58.56186211867275,10.46,Si
"CALLE 151 1728, Berazategui, Buenos Aires",Berazategui,-34.762694077641896,-58.20417806529385,-34.76274900623515,-58.20375882471241,38.86,Si
"CALLE 52, Berazategui, Buenos Aires",Berazategui,-34.8075292750697,-58.187032314184044,-34.79207278316765,-58.169074553539474,2375.01,No
"ANIBAL GONZALEZ 725, Tigre, Buenos Aires",Tigre,-34.41808101352501,-58.59202087034488,-34.42019151828158,-58.589386275545415,336.85,No
"VENEZUELA (ENTRE TAPALQUE Y OLAVARRIA), Chascomús, Buenos Aires",Chascomús,-35.5817458981107,-57.99427212331911,-35.58175977754936,-57.99430243445999,3.15,Si
"AV HIPOLITO YRIGOYEN (ESQUINA AV LASTRA), Chascomús, Buenos Aires",Chascomús,-35.5769927846892,-58.0082209684804,-35.57706680716753,-58.00892628071439,64.46,Si
